Domain,IP_Addresses,TTLs
abc.net.au,2.19.220.113,IN
canada.ca,160.106.123.29,300
,167.40.79.24,300
,205.193.117.159,300
,205.193.215.159,300
cbc.ca,23.51.106.3,11
admin.ch,162.23.130.190,3421
zclfg-pro.v.bsgslb.cn,154.85.94.11,60
,154.85.94.12,60
,154.85.94.13,60
,154.85.94.14,60
,154.85.94.15,60
,154.85.94.16,60
,154.85.94.17,60
,154.85.94.18,60
,154.85.94.19,60
,154.85.94.20,60
,154.85.94.21,60
,154.85.94.23,60
,154.85.94.24,60
,154.85.94.25,60
,154.85.94.26,60
sina.com.cn,36.51.254.91,59
163.com,59.111.160.244,596
about.com,162.159.141.224,300
,172.66.1.220,300
akismet.com,192.0.78.24,107
,192.0.78.25,107
alibaba.com,47.246.131.198,120
,47.246.136.52,120
,47.246.136.156,120
,47.246.137.105,120
aliyun.com,106.11.172.9,299
,106.11.248.146,299
,106.11.249.99,299
,106.11.253.83,299
,140.205.60.46,299
,140.205.135.3,299
android.com,142.250.184.4,300
apnews.com,104.16.22.8,299
,104.16.23.8,299
299,13,RRSIG
arcgis.com,13.224.83.30,59
,13.224.83.51,59
,13.224.83.76,59
,13.224.83.108,59
59,13,RRSIG
bandcamp.com,151.101.1.91,14336
,151.101.65.91,14336
,151.101.129.91,14336
,151.101.193.91,14336
bilibili.com,8.134.50.24,18
,47.103.24.173,18
,119.3.70.188,18
,139.159.241.37,18
biomedcentral.com,151.101.120.95,47
bmj.com,65.8.202.5,60
,65.8.202.41,60
,65.8.202.58,60
,65.8.202.89,60
booking.com,18.154.48.8,59
,18.154.48.10,59
,18.154.48.22,59
,18.154.48.129,59
businesswire.com,104.83.79.226,19
buydomains.com,104.18.41.145,300
,172.64.146.111,300
buzzfeed.com,151.101.2.114,300
,151.101.66.114,300
,151.101.130.114,300
,151.101.194.114,300
chatgpt.com,104.18.32.47,221
,172.64.155.209,221
221,13,RRSIG
cisco.com,72.163.4.185,179
dailymotion.com,195.8.215.136,17922
deloitte.com,170.194.135.123,2593
deviantart.com,52.222.132.5,59
,52.222.132.77,59
,52.222.132.128,59
,52.222.132.129,59
docker.com,23.185.0.4,9
dribbble.com,18.245.86.17,3599
